,pickup_index,pickup_name,pickup_district,pickup_latitude,pickup_longitude,index_dropoff,name_dropoff,district_dropoff,latitude_dropoff,longitude_dropoff,Frequency,route
330,38,"Paulushofen, Dorfstraße",Paulushofen,49.010337,11.502283,22,"Beilngries, Kelheimer Straße",Beilngries,49.032928,11.479163,1,"[[11.502278, 49.010344], [11.502364, 49.01037], [11.503847, 49.010281], [11.504525, 49.009376], [11.506055, 49.00896], [11.507309, 49.010064], [11.50774, 49.011367], [11.507452, 49.012435], [11.50605, 49.013747], [11.504196, 49.014404], [11.500842, 49.014625], [11.486974, 49.017081], [11.480138, 49.019306], [11.477986, 49.020303], [11.476244, 49.021774], [11.475698, 49.023419], [11.476275, 49.024939], [11.476639, 49.025063], [11.478241, 49.029281], [11.47485, 49.033217], [11.477608, 49.034099], [11.479179, 49.032938]]"
104,9,"Unteremmendorf, Wendeschleife",Unteremmendorf,48.992112,11.434157,29,"Beilngries, Rathaus",Beilngries,49.035103,11.474083,1,"[[11.434215, 48.992097], [11.436019, 48.99661], [11.442703, 49.000286], [11.446993, 49.004932], [11.448829, 49.010366], [11.447935, 49.020698], [11.450814, 49.027247], [11.454409, 49.02998], [11.457999, 49.031947], [11.46274, 49.032955], [11.470053, 49.036116], [11.471199, 49.036536], [11.47403, 49.035076]]"
102,9,"Unteremmendorf, Wendeschleife",Unteremmendorf,48.992112,11.434157,0,"Kinding, Bahnhof",Kinding,48.992168,11.377365,1,"[[11.434215, 48.992097], [11.436019, 48.99661], [11.432729, 48.995731], [11.429477, 48.995345], [11.426127, 48.995245], [11.421884, 48.9956], [11.412489, 48.997861], [11.401773, 49.001444], [11.395785, 49.002886], [11.393164, 49.002397], [11.387725, 48.999773], [11.381634, 48.999352], [11.377161, 48.998039], [11.376742, 48.997991], [11.37672, 48.997565], [11.375167, 48.997237], [11.374025, 48.995708], [11.374953, 48.993762], [11.376023, 48.99308], [11.376132, 48.992827], [11.377329, 48.992203]]"
97,8,"Haunstetten, Gewerbegebiet",Haunstetten,49.017505,11.404733,30,"Beilngries, Frauenkirche",Beilngries,49.036378,11.470632,1,"[[11.404731, 49.017493], [11.407936, 49.017358], [11.409188, 49.015886], [11.409252, 49.01532], [11.410803, 49.01551], [11.4126, 49.016415], [11.415922, 49.017143], [11.417281, 49.018428], [11.425127, 49.022256], [11.432105, 49.024143], [11.438293, 49.026877], [11.444478, 49.028503], [11.450419, 49.033718], [11.450832, 49.036075], [11.451775, 49.036208], [11.451932, 49.03736], [11.452206, 49.037564], [11.453993, 49.037336], [11.456319, 49.037829], [11.46068, 49.038769], [11.461971, 49.03949], [11.461932, 49.041855], [11.45808, 49.043938], [11.458154, 49.044368], [11.458732, 49.044647], [11.459849, 49.044331], [11.460228, 49.043562], [11.462349, 49.043082], [11.463268, 49.042487], [11.465442, 49.037579], [11.470083, 49.03625], [11.470658, 49.036342]]"
347,40,"Irfersdorf, Am Kirchplatz",Irfersdorf,48.994215,11.461103,4,"Kinding, Marktplatz",Kinding,49.000562,11.38279,1,"[[11.4611, 48.994183], [11.460289, 48.994168], [11.459712, 48.993303], [11.45756, 48.993175], [11.451072, 48.991699], [11.4499, 48.990979], [11.445011, 48.985055], [11.445218, 48.984128], [11.446375, 48.982685], [11.446125, 48.982362], [11.435377, 48.976148], [11.43294, 48.976124], [11.430335, 48.975397], [11.425107, 48.973714], [11.423824, 48.973056], [11.423779, 48.9727], [11.42234, 48.973973], [11.420185, 48.972554], [11.418998, 48.972302], [11.418266, 48.971339], [11.418201, 48.970506], [11.41674, 48.968854], [11.415768, 48.968633], [11.413966, 48.968975], [11.411943, 48.9681], [11.409766, 48.968039], [11.405003, 48.969574], [11.399575, 48.969993], [11.397931, 48.970527], [11.397253, 48.971615], [11.396072, 48.971592], [11.394589, 48.975181], [11.391014, 48.980356], [11.388012, 48.983067], [11.386679, 48.986635], [11.385044, 48.988296], [11.384498, 48.989397], [11.38537, 48.995626], [11.386303, 48.996703], [11.389134, 48.998445], [11.389624, 48.99955], [11.389477, 49.000487], [11.387106, 48.999627], [11.385483, 48.999934], [11.385112, 49.000408], [11.382783, 49.000519]]"
345,39,"Neuzell, Feuerwehr",Neuzell,48.997518,11.482948,55,"Kottingwoerth, Dietfurter Strasse",Kottingwörth,49.019003,11.520783,1,"[[11.482968, 48.997522], [11.482247, 48.999337], [11.489078, 49.002569], [11.49718, 49.003674], [11.498218, 49.005786], [11.499496, 49.00673], [11.504336, 49.008176], [11.506318, 49.00916], [11.513301, 49.005133], [11.518228, 49.003039], [11.523916, 49.001211], [11.527868, 49.000628], [11.529246, 48.99993], [11.532739, 49.001851], [11.533371, 49.004095], [11.533369, 49.007183], [11.529833, 49.008933], [11.52455, 49.010507], [11.523259, 49.01122], [11.521002, 49.015331], [11.520949, 49.016484], [11.518597, 49.017509], [11.519176, 49.019029], [11.52079, 49.018975]]"
344,39,"Neuzell, Feuerwehr",Neuzell,48.997518,11.482948,45,"Aschbuch, Lindenstraße",Aschbuch,48.978988,11.491803,1,"[[11.482968, 48.997522], [11.48477, 48.995118], [11.490882, 48.995592], [11.490291, 48.992095], [11.489244, 48.989889], [11.487986, 48.987733], [11.484372, 48.98354], [11.491739, 48.981461], [11.491797, 48.979018]]"
343,39,"Neuzell, Feuerwehr",Neuzell,48.997518,11.482948,38,"Paulushofen, Dorfstraße",Paulushofen,49.010337,11.502283,1,"[[11.482968, 48.997522], [11.482247, 48.999337], [11.489078, 49.002569], [11.49718, 49.003674], [11.497941, 49.005411], [11.498913, 49.006376], [11.498727, 49.006881], [11.500521, 49.009824], [11.500908, 49.010148], [11.502278, 49.010344]]"
342,39,"Neuzell, Feuerwehr",Neuzell,48.997518,11.482948,33,"Beilngries, Bauhofstraße",Beilngries,49.031608,11.461872,1,"[[11.482968, 48.997522], [11.482247, 48.999337], [11.489078, 49.002569], [11.49718, 49.003674], [11.497941, 49.005411], [11.498913, 49.006376], [11.500295, 49.00709], [11.504806, 49.008344], [11.50704, 49.009758], [11.507729, 49.011582], [11.506702, 49.013291], [11.504196, 49.014404], [11.500842, 49.014625], [11.486974, 49.017081], [11.480138, 49.019306], [11.477986, 49.020303], [11.476244, 49.021774], [11.475698, 49.023419], [11.476275, 49.024939], [11.476639, 49.025063], [11.476462, 49.025306], [11.473902, 49.025084], [11.470795, 49.024173], [11.468496, 49.024273], [11.466725, 49.024943], [11.464121, 49.026809], [11.460416, 49.028834], [11.458643, 49.029323], [11.455994, 49.029433], [11.454831, 49.029911], [11.455219, 49.030536], [11.457115, 49.031581], [11.460455, 49.032478], [11.461834, 49.031585]]"
341,39,"Neuzell, Feuerwehr",Neuzell,48.997518,11.482948,21,"Beilngries, Deutscher Hof",Beilngries,49.033525,11.475793,1,"[[11.482968, 48.997522], [11.482247, 48.999337], [11.489078, 49.002569], [11.49718, 49.003674], [11.497941, 49.005411], [11.498913, 49.006376], [11.500295, 49.00709], [11.504806, 49.008344], [11.50704, 49.009758], [11.507729, 49.011582], [11.506702, 49.013291], [11.504196, 49.014404], [11.500842, 49.014625], [11.486974, 49.017081], [11.480138, 49.019306], [11.477986, 49.020303], [11.476244, 49.021774], [11.475698, 49.023419], [11.476275, 49.024939], [11.476639, 49.025063], [11.478241, 49.029281], [11.47485, 49.033217], [11.475736, 49.033524]]"
